"Alter";"Bildung";"Kinder";"Bruttoeinkommen"
"1";62;10.5;0;21705
"2";55;18;0;80131
"3";67;18;0;36403
"4";58;11;0;20643
"5";57;10.5;0;20643
"6";44;11.5;0;131225
"7";50;11.5;0;52020
"8";32;15;0;56423
"9";41;14;2;44948
"10";50;18;0;44702
"11";53;13;0;55050
"12";50;12;0;55050
"13";27;13;0;55050
"14";69;18;0;31780
"15";38;11.5;2;53712
"16";74;12;0;65984
"17";65;11.5;0;65984
"18";59;15;0;25620
"19";60;16;0;39472
"20";44;12;2;32457
"21";55;12;0;114346
"22";53;12;0;114346
"23";49;11;0;46127
"24";53;11.5;0;112500
"25";53;12;0;112500
"26";19;11.5;0;112500
"27";19;13;0;112500
"28";47;16;1;138706
"29";43;11.5;2;55731
"30";53;11.5;0;32953
"31";41;13;2;24000
"32";49;15;0;36233
"33";36;10.5;1;30803
"34";54;18;1;55187
"35";52;14;1;55187
"36";22;13;1;55187
"37";21;13;1;55187
"38";56;11.5;0;62880
"39";58;10;0;73746
"40";60;12;0;73746
"41";49;10.5;0;57433
"42";55;11.5;0;97002
"43";52;10;0;97002
"44";55;10.5;0;35500
"45";53;12;0;38155
"46";32;10.5;2;27320
"47";27;9;0;24365
"48";45;10.5;0;38155
"49";48;11.5;1;79543
"50";54;11.5;0;65850
"51";50;11;0;65850
"52";44;11;2;48405
"53";41;10.5;2;48405
"54";43;10.5;1;54001
"55";44;9;0;32300
"56";51;10.5;0;49472
"57";24;11.5;0;38313
"58";48;10.5;0;96163
"59";46;14;2;101435
"60";36;14.5;0;74860
"61";30;11.5;0;39244
"62";66;12;0;78999
"63";56;11.5;0;75292
"64";50;12;0;75292
"65";23;13;0;75292
"66";58;10.5;0;27015
"67";51;11;0;64882
"68";69;13.5;0;22198
"69";65;11.5;0;22198
"70";42;14.5;2;67221
"71";38;11;2;51486
"72";64;10.5;0;27600
"73";34;18;0;152680
"74";32;18;0;31481
"75";64;13.5;0;48344
"76";63;11.5;0;48344
"77";41;14.5;0;163600
"78";40;18;4;70138
"79";64;18;0;62860
"80";48;11.5;0;57300
"81";36;10.5;0;64481
"82";44;10.5;2;37600
"83";52;18;0;110950
"84";33;13;0;25469
"85";57;9;0;41895
"86";44;14.5;2;77930
"87";51;14.5;0;46137
"88";50;11.5;1;101906
"89";30;11.5;0;34127
"90";28;11.5;0;22586
"91";54;18;0;38156
"92";54;16;0;64600
"93";74;18;0;161372
